"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3973, FN=0, Flags=........C, BI=100, SSID=Coherer"
"2","0.102961","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3974, FN=0, Flags=........C, BI=100, SSID=Coherer"
"3","0.103946","Cisco-Li_82:b2:55","Spanning-tree-(for-bridges)_00","802.11","118","Data, SN=3975, FN=0, Flags=.p....F.C"
"4","0.204955","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3976, FN=0, Flags=........C, BI=100, SSID=Coherer"
"5","0.307929","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3977, FN=0, Flags=........C, BI=100, SSID=Coherer"
"6","0.409911","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3978, FN=0, Flags=........C, BI=100, SSID=Coherer"
"7","0.512900","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3979, FN=0, Flags=........C, BI=100, SSID=Coherer"
"8","0.614871","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3980, FN=0, Flags=........C, BI=100, SSID=Coherer"
"9","0.716933","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3981, FN=0, Flags=........C, BI=100, SSID=Coherer"
"10","0.819842","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3982, FN=0, Flags=........C, BI=100, SSID=Coherer"
"11","0.921825","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3983, FN=0, Flags=........C, BI=100, SSID=Coherer"
"12","1.024783","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3984, FN=0, Flags=........C, BI=100, SSID=Coherer"
"13","1.126803","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3985, FN=0, Flags=........C, BI=100, SSID=Coherer"
"14","1.229716","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3986, FN=0, Flags=........C, BI=100, SSID=Coherer"
"15","1.331694","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3987, FN=0, Flags=........C, BI=100, SSID=Coherer"
"16","1.433749","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3988, FN=0, Flags=........C, BI=100, SSID=Coherer"
"17","1.536739","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3989, FN=0, Flags=........C, BI=100, SSID=Coherer"
"18","1.608711","","Cisco-Li_82:b2:55 (00:0c:41:82:b2:55) (RA)","802.11","38","Acknowledgement, Flags=........C"
"19","1.638634","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3991, FN=0, Flags=........C, BI=100, SSID=Coherer"
"20","1.741649","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3992, FN=0, Flags=........C, BI=100, SSID=Coherer"
"21","1.793612","","","802.11","89","Unrecognized (Reserved frame), Flags=........C"
"22","1.843685","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3994, FN=0, Flags=........C, BI=100, SSID=Coherer"
"23","1.946593","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3996, FN=0, Flags=........C, BI=100, SSID=Coherer"
"24","2.048670","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3997, FN=0, Flags=........C, BI=100, SSID=Coherer"
"25","2.150628","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=3999, FN=0, Flags=........C, BI=100, SSID=Coherer"
"26","2.151616","Cisco-Li_82:b2:55","Spanning-tree-(for-bridges)_00","802.11","118","Data, SN=4000, FN=0, Flags=.p....F.C"
"27","2.253468","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4001, FN=0, Flags=........C, BI=100, SSID=Coherer"
"28","2.355534","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4002, FN=0, Flags=........C, BI=100, SSID=Coherer"
"29","2.458576","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4003, FN=0, Flags=........C, BI=100, SSID=Coherer"
"30","2.560555","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4004, FN=0, Flags=........C, BI=100, SSID=Coherer"
